id;ma_ho_khau;ten_chu_ho;dia_chi
1;sequence;tire boohoo nifty;hm utterly
2;huzzah however engineering;consequently boldly modulo;ski plaintive
3;geez too although;lest;indeed
4;solemnly;illustrious shoddy equal;academic
5;canvas;mostly for whistle;sometimes hardhat playfully
6;phooey boo uh-huh;crafty naughty dear;fooey underneath
7;freight;swamp quizzical;unrealistic bookmark
8;implement yuck aside;meanwhile icky;finally
9;seriously;front denounce pollutant;stimulating than unless
10;young;wherever zowie;noted
